title,description,type,style,color,url,image
Women's Black Blouse,Black satin puff sleeve ruffle ruched button up top,top,goth,black,https://www.depop.com/products/dani_ggg-antilia-femme-black-satin-puff/,https://media-photos.depop.com/b1/44456228/2943216441_f8cc10e8c5e24e04aa1b833367c1ffab/P0.jpg
Women's Black and Blue Blouse,"Dead-stock blue, black, and purple express plaid blouse",top,twee,purple,https://www.depop.com/products/holyduds-amazing-office-siren-dead-stock-blue/,https://media-photos.depop.com/b1/46684926/2847583379_d1088c5eb5364b4e89b2e63800c1c29e/P0.jpg
Women's Multi Shirt,Y2K blue ringtones cactus bay top ,top,y2k,blue,https://www.depop.com/products/luvvely-y2k-blue-ringtones-cactus-bay/,https://media-photos.depop.com/b1/482609803/2937323009_66a615a2317246e4b2e7f1f2be4178ab/P0.jpg
Women's multi Crop-top,Y2k halter sequin tube top,top,glam,red,https://www.depop.com/products/devourtherichh-y2k-halter-sequin-tube-top/,https://media-photos.depop.com/b1/38045277/2949221892_9d65bc8fd6374487bf146ba2c025f3d0/P0.jpg
Women's Brown and Grey Shirt,"Brown pinstripe zip up structured top with collar",top,academia,brown,https://www.depop.com/products/karinagracethrift-brown-pinstripe-zip-up-structured/,https://media-photos.depop.com/b1/42214613/2945427935_fcbfa0a54fa84e79bb413aaf84a1ed88/P0.jpg
Women's White T-shirt,Zara white ribbed tight fit t-shirt,top,npc,white,https://www.depop.com/products/hannahhchuu-zara-white-ribbed-tight-fit/,https://media-photos.depop.com/b1/362101519/2943568276_4246192b7bc54fc8979ee4085a17dc31/P0.jpg
Women's Black Skirt,Black lace ruffle skirt,bottom,goth,black,https://www.depop.com/products/liv_copp-black-lace-ruffle-skirt/,https://media-photos.depop.com/b1/15359016/2924864186_6002103d2ef745cf83bb099b065725d9/P0.jpg
Women's Blue Skirt,Reworked raw edge wool skirt,bottom,twee,blue,https://www.depop.com/products/aether003-reworked-raw-edge-wool-skirt/,https://media-photos.depop.com/b1/43385257/2337847489_26544666990a4b67ba83c7aecc605299/P0.jpg
Women's Blue and White Joggers,y2k Aeropostale sweat pants,bottom,y2k,blue,https://www.depop.com/products/kissthissvintage-y2k-aeropostale-sweat-pants-tagged/,https://media-photos.depop.com/b1/8711639/2927340262_41f71e5b51a248e78e42a50b9b102750/P0.jpg
Women's Silver and Grey Skirt,Chic Silver Satin Skirt (mid calf),bottom,glam,white,https://www.depop.com/products/pkbradde-chic-silver-satin-skirt-korean/,https://media-photos.depop.com/b1/418718848/2947157039_565f85cbb3b6472dbe6bdbc0b4490fcd/P0.jpg
Pendleton Women's Blue and Green Skirt,Vintage Pendleton Womens Skirt Pleated Plaid,bottom,academia,blue,https://www.depop.com/products/my_toy_basket-vintage-pendleton-womens-skirt-pleated/,https://media-photos.depop.com/b1/3657459/repop_42070638_1623691539/2932999058_5274186ee8944bd2b1456e9749dae10d/P0.jpg
